strategy;subStrategy;nFotogramas;width;height;ns;nProcs;threadsPorProceso;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;cols;5;512;1024;5;1;1;0,878176;0,878176;;;;
cols;cols;5;512;1024;10;1;1;1,80889;1,80889;;;;
cols;cols;5;1024;32;1;1;1;0,0086187;0,0086187;;;;
cols;cols;5;1024;32;2;1;1;0,0150174;0,0150174;;;;
cols;cols;5;1024;32;5;1;1;0,0349852;0,0349852;;;;
cols;cols;5;1024;32;10;1;1;0,0779708;0,0779708;;;;
cols;cols;5;1024;64;1;1;1;0,0257014;0,0257014;;;;
cols;cols;5;1024;64;2;1;1;0,038289;0,038289;;;;
cols;cols;5;1024;64;5;1;1;0,0748343;0,0748343;;;;
cols;cols;5;1024;64;10;1;1;0,150562;0,150562;;;;
cols;cols;5;1024;256;1;1;1;0,0807771;0,0807771;;;;
cols;cols;5;1024;256;2;1;1;0,161749;0,161749;;;;
cols;cols;5;1024;256;5;1;1;0,413739;0,413739;;;;
cols;cols;5;1024;256;10;1;1;0,80765;0,80765;;;;
cols;cols;5;1024;512;1;1;1;0,172477;0,172477;;;;
cols;cols;5;1024;512;2;1;1;0,335201;0,335201;;;;
cols;cols;5;1024;512;5;1;1;0,827921;0,827921;;;;
cols;cols;5;1024;512;10;1;1;1,63572;1,63572;;;;
cols;cols;5;1024;1024;1;1;1;0,368484;0,368484;;;;
cols;cols;5;1024;1024;2;1;1;0,726333;0,726333;;;;
cols;cols;5;1024;1024;5;1;1;1,89444;1,89444;;;;
cols;cols;5;1024;1024;10;1;1;3,68339;3,68339;;;;
cols;cols;1;32;32;1;1;2;0,0021311;0,0021311;;;;
cols;cols;1;32;32;2;1;2;0,0024477;0,0024477;;;;
cols;cols;1;32;32;5;1;2;0,0034604;0,0034604;;;;
cols;cols;1;32;32;10;1;2;0,0049421;0,0049421;;;;
cols;cols;1;32;64;1;1;2;0,0024193;0,0024193;;;;
cols;cols;1;32;64;2;1;2;0,0030342;0,0030342;;;;
cols;cols;1;32;64;5;1;2;0,0050202;0,0050202;;;;
cols;cols;1;32;64;10;1;2;0,0131393;0,0131393;;;;
cols;cols;1;32;256;1;1;2;0,005851;0,005851;;;;
cols;cols;1;32;256;2;1;2;0,0069082;0,0069082;;;;
cols;cols;1;32;256;5;1;2;0,0243125;0,0243125;;;;
cols;cols;1;32;256;10;1;2;0,0286815;0,0286815;;;;
cols;cols;1;32;512;1;1;2;0,0070864;0,0070864;;;;
cols;cols;1;32;512;2;1;2;0,01845;0,01845;;;;
cols;cols;1;32;512;5;1;2;0,0342671;0,0342671;;;;
cols;cols;1;32;512;10;1;2;0,0568162;0,0568162;;;;
cols;cols;1;32;1024;1;1;2;0,0121871;0,0121871;;;;
cols;cols;1;32;1024;2;1;2;0,0376339;0,0376339;;;;
cols;cols;1;32;1024;5;1;2;0,057788;0,057788;;;;
cols;cols;1;32;1024;10;1;2;0,109381;0,109381;;;;
cols;cols;1;64;32;1;1;2;0,0024016;0,0024016;;;;
cols;cols;1;64;32;2;1;2;0,0029554;0,0029554;;;;
cols;cols;1;64;32;5;1;2;0,0046867;0,0046867;;;;
cols;cols;1;64;32;10;1;2;0,0090642;0,0090642;;;;
cols;cols;1;64;64;1;1;2;0,0039236;0,0039236;;;;
cols;cols;1;64;64;2;1;2;0,0046511;0,0046511;;;;
cols;cols;1;64;64;5;1;2;0,0118948;0,0118948;;;;
cols;cols;1;64;64;10;1;2;0,0150178;0,0150178;;;;
cols;cols;1;64;256;1;1;2;0,007051;0,007051;;;;
cols;cols;1;64;256;2;1;2;0,0121986;0,0121986;;;;
cols;cols;1;64;256;5;1;2;0,0410498;0,0410498;;;;
cols;cols;1;64;256;10;1;2;0,0584536;0,0584536;;;;
cols;cols;1;64;512;1;1;2;0,0126128;0,0126128;;;;
cols;cols;1;64;512;2;1;2;0,0234949;0,0234949;;;;
cols;cols;1;64;512;5;1;2;0,056581;0,056581;;;;
cols;cols;1;64;512;10;1;2;0,116452;0,116452;;;;
cols;cols;1;64;1024;1;1;2;0,0235457;0,0235457;;;;
cols;cols;1;64;1024;2;1;2;0,0465034;0,0465034;;;;
cols;cols;1;64;1024;5;1;2;0,118179;0,118179;;;;
cols;cols;1;64;1024;10;1;2;0,230203;0,230203;;;;
cols;cols;1;256;32;1;1;2;0,0054084;0,0054084;;;;
cols;cols;1;256;32;2;1;2;0,0073192;0,0073192;;;;
cols;cols;1;256;32;5;1;2;0,0152741;0,0152741;;;;
cols;cols;1;256;32;10;1;2;0,0332638;0,0332638;;;;
cols;cols;1;256;64;1;1;2;0,0102574;0,0102574;;;;
cols;cols;1;256;64;2;1;2;0,0114412;0,0114412;;;;
cols;cols;1;256;64;5;1;2;0,0435277;0,0435277;;;;
cols;cols;1;256;64;10;1;2;0,0493139;0,0493139;;;;
cols;cols;1;256;256;1;1;2;0,0261423;0,0261423;;;;
cols;cols;1;256;256;2;1;2;0,0624814;0,0624814;;;;
cols;cols;1;256;256;5;1;2;0,182312;0,182312;;;;
cols;cols;1;256;256;10;1;2;0,323939;0,323939;;;;
cols;cols;1;256;512;1;1;2;0,0574056;0,0574056;;;;
cols;cols;1;256;512;2;1;2;0,0918498;0,0918498;;;;
cols;cols;1;256;512;5;1;2;0,267854;0,267854;;;;
cols;cols;1;256;512;10;1;2;0,459949;0,459949;;;;
cols;cols;1;256;1024;1;1;2;0,100755;0,100755;;;;
