strategy;nFotogramas;width;height;ns;nProcs;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;1;32;32;5;2;0,0061926;0,0061926;;;;
cols;1;32;32;10;2;0,0118141;0,0118141;;;;
cols;1;32;64;1;2;0,0027388;0,0027388;;;;
cols;1;32;64;2;2;0,0049784;0,0049784;;;;
cols;1;32;64;5;2;0,0117065;0,0117065;;;;
cols;1;32;64;10;2;0,0236401;0,0236401;;;;
cols;1;32;256;1;2;0,0100399;0,0100399;;;;
cols;1;32;256;2;2;0,0197069;0,0197069;;;;
cols;1;32;256;5;2;0,0489414;0,0489414;;;;
cols;1;32;256;10;2;0,0970993;0,0970993;;;;
cols;1;32;512;1;2;0,0199242;0,0199242;;;;
cols;1;32;512;2;2;0,0392643;0,0392643;;;;
cols;1;32;512;5;2;0,098086;0,098086;;;;
cols;1;32;512;10;2;0,19201;0,19201;;;;
cols;1;32;1024;1;2;0,0381066;0,0381066;;;;
cols;1;32;1024;2;2;0,07647;0,07647;;;;
cols;1;32;1024;5;2;0,189393;0,189393;;;;
cols;1;32;1024;10;2;0,379046;0,379046;;;;
cols;1;64;32;1;2;0,0023526;0,0023526;;;;
cols;1;64;32;2;2;0,004273;0,004273;;;;
cols;1;64;32;5;2;0,0101127;0,0101127;;;;
cols;1;64;32;10;2;0,0197037;0,0197037;;;;
cols;1;64;64;1;2;0,0051404;0,0051404;;;;
cols;1;64;64;2;2;0,0096908;0,0096908;;;;
cols;1;64;64;5;2;0,0236342;0,0236342;;;;
cols;1;64;64;10;2;0,0465552;0,0465552;;;;
cols;1;64;256;1;2;0,0191773;0,0191773;;;;
cols;1;64;256;2;2;0,038105;0,038105;;;;
cols;1;64;256;5;2;0,0931816;0,0931816;;;;
cols;1;64;256;10;2;0,186494;0,186494;;;;
cols;1;64;512;1;2;0,0387709;0,0387709;;;;
cols;1;64;512;2;2;0,0779542;0,0779542;;;;
cols;1;64;512;5;2;0,192919;0,192919;;;;
cols;1;64;512;10;2;0,377003;0,377003;;;;
cols;1;64;1024;1;2;0,0771942;0,0771942;;;;
cols;1;64;1024;2;2;0,152428;0,152428;;;;
cols;1;64;1024;5;2;0,377157;0,377157;;;;
cols;1;64;1024;10;2;0,763402;0,763402;;;;
cols;1;256;32;1;2;0,0067519;0,0067519;;;;
cols;1;256;32;2;2;0,0134312;0,0134312;;;;
cols;1;256;32;5;2;0,0313783;0,0313783;;;;
cols;1;256;32;10;2;0,0633238;0,0633238;;;;
